Object Name,Text - Description,,,,,,,,,,,,,,,,,,,,
/AIF/RAL_C,AIF Read Access Log Customizing,,,,,,,,,,,,,,,,,,,,
/AIF/RT_MO,Authorization object for bgRFC runtime monitoring,,,,,,,,,,,,,,,,,,,,
/AIF/SER,AIF Serialization Object Index,,,,,,,,,,,,,,,,,,,,
/AIF/TECH,AIF Error Handling Technical Mode,,,,,,,,,,,,,,,,,,,,
/AIF/TRANS,Authorization object for importing data to AIF,,,,,,,,,,,,,,,,,,,,
/AIF/VMAP,AIF Value Mapping,,,,,,,,,,,,,,,,,,,,
/ATL/CASH,IL Localization Cashie : Authorization for certain location,,,,,,,,,,,,,,,,,,,,
/ATL/CASHI,IL Localization - Cash ID for Cashier,,,,,,,,,,,,,,,,,,,,
/ATL/ENTTY,IL Localization - Entity in Foreclosures,,,,,,,,,,,,,,,,,,,,
/ATL/FILEN,IL Localization - File number in Form 6111,,,,,,,,,,,,,,,,,,,,
/ATL/FOREC,IL Localization - Foreclosures,,,,,,,,,,,,,,,,,,,,
/ATL/INDEX,IL Localization - Index,,,,,,,,,,,,,,,,,,,,
/BDTS/020,Business Data Transformation Solutions Table Definitions,,,,,,,,,,,,,,,,,,,,
/BOFU/BO,Generic Authorizations for Business Objects (BOPF),,,,,,,,,,,,,,,,,,,,
/BSNAGT/AP,MBC Connector API,,,,,,,,,,,,,,,,,,,,
/BSNAGT/CR,Creation of MBC Messages,,,,,,,,,,,,,,,,,,,,
/BSNAGT/FM,MBC Connector Monitor,,,,,,,,,,,,,,,,,,,,
/BSNAGT/ID,Payload Search Index Maintenance,,,,,,,,,,,,,,,,,,,,
/BSNAGT/PI,File/Message Pickup,,,,,,,,,,,,,,,,,,,,
/BSNAGT/PL,Access to message payload,,,,,,,,,,,,,,,,,,,,
/BSNAGT/PS,Payload Search,,,,,,,,,,,,,,,,,,,,
/BSNAGT/PU,Pull Messages,,,,,,,,,,,,,,,,,,,,
/BSNAGT/RP,Reset/Reprocess already processed steps,,,,,,,,,,,,,,,,,,,,
/BSNAGT/SA,Send Message again,,,,,,,,,,,,,,,,,,,,
/BSNAGT/SE,Access to sensitive data,,,,,,,,,,,,,,,,,,,,
/BSNAGT/SN,Send Message to MBC,,,,,,,,,,,,,,,,,,,,
/BSNAGT/ST,Update status of message,,,,,,,,,,,,,,,,,,,,
/BSNAGT/TR,Trace Messages (MBC Connector),,,,,,,,,,,,,,,,,,,,
/BUILD/A,Authorization for Administration of Build Framework,,,,,,,,,,,,,,,,,,,,
/BUILD/C,Build Framework Build,,,,,,,,,,,,,,,,,,,,
/CCEE/EPOB,Report ePoboti /CCEE/SIFI_RFSITEM,,,,,,,,,,,,,,,,,,,,
/CCEE/HR_B,Authorization Object For Croatia Web Service(Business space),,,,,,,,,,,,,,,,,,,,
/CCEE/HR_I,Authorization Object For Croatia Web Service(Fiscalization),,,,,,,,,,,,,,,,,,,,
/CDBASIS/C,General Customizing Access,,,,,,,,,,,,,,,,,,,,
/CEECV/IST,Intrastat Reporting for Baltic Countries,,,,,,,,,,,,,,,,,,,,
/CEECV/RO1,Analytical balance,,,,,,,,,,,,,,,,,,,,
/CEECV/ROT,Auth. for FI-SL BT,,,,,,,,,,,,,,,,,,,,
/CEERE/KD,Authorization for maintenance of prop.tax object master data,,,,,,,,,,,,,,,,,,,,
/CPD/ANLY,Authorization object for Analytics,,,,,,,,,,,,,,,,,,,,
/CPD/FPH,Authorization Object for Financial Plan Header,,,,,,,,,,,,,,,,,,,,
/CPD/MC,Authorization Object for Milestone Checklist,,,,,,,,,,,,,,,,,,,,
/CPD/MP,Authorization Object for Project Workspace,,,,,,,,,,,,,,,,,,,,
/CPD/OAUTH,Authorization Object to Override Access Control,,,,,,,,,,,,,,,,,,,,
/CUM/CPEDT,Authorization object for TA /CUM/DESIGN,,,,,,,,,,,,,,,,,,,,
/CUM/EFEDT,Authorization object for TA /CUM/DESIGN,,,,,,,,,,,,,,,,,,,,
/CWM/C_ACT,Activate CWM in Client,,,,,,,,,,,,,,,,,,,,
/CWM/L_INV,Automatic Transfer of SU During WM Inventory in HU Envrnmnt,,,,,,,,,,,,,,,,,,,,
/DMBE/ACCO,Users can change Accounting fields (FAS code and Acc. Type),,,,,,,,,,,,,,,,,,,,
/DMBE/AUTR,Evergreen Deals - run autorenew program,,,,,,,,,,,,,,,,,,,,
/DMBE/BPCD,Counterparties per Company Code,,,,,,,,,,,,,,,,,,,,
/DMBE/COMP,CDS View - Internal Company,,,,,,,,,,,,,,,,,,,,
/DMBE/CSTA,Paper Contract Status Authorization Object,,,,,,,,,,,,,,,,,,,,
/DMBE/CTAN,Deal Contract Analyst,,,,,,,,,,,,,,,,,,,,
/DMBE/DELD,Housekeeping job to delete automatically created Drafts,,,,,,,,,,,,,,,,,,,,
/DMBE/DISP,Deal Display authorizations,,,,,,,,,,,,,,,,,,,,
/DMBE/DTP,CDS View - Deal Type,,,,,,,,,,,,,,,,,,,,
/DMBE/EXCH,Exchange Agreement,,,,,,,,,,,,,,,,,,,,
/DMBE/FALL,Fallback authorization object,,,,,,,,,,,,,,,,,,,,
/DMBE/FTCC,Field Text Determination authorization by company code,,,,,,,,,,,,,,,,,,,,
/DMBE/LEAS,Lease Assignment authorization object,,,,,,,,,,,,,,,,,,,,
/DMBE/LGTM,Legal Term Authorization Object (CRUD),,,,,,,,,,,,,,,,,,,,
/DMBE/MIXP,Mixed Products Composition authorization,,,,,,,,,,,,,,,,,,,,
/DMBE/PRD,CDS View - Product Type,,,,,,,,,,,,,,,,,,,,
/DMBE/PROV,General Provision Authorization Object,,,,,,,,,,,,,,,,,,,,
/DMBE/SRCH,CDS View - Authorization for deal search,,,,,,,,,,,,,,,,,,,,
/DMBE/STA,Status,,,,,,,,,,,,,,,,,,,,
/DMBE/STRT,Status Transaction Type,,,,,,,,,,,,,,,,,,,,
/DSD/SL_TP,Cockpit and TDE: Authorization and Transport. Planning Point,,,,,,,,,,,,,,,,,,,,
/DSD/SL_WR,Cockpit and TDE: Authorization for Plant,,,,,,,,,,,,,,,,,,,,
/DSD/SV_LC,DSD Loading Confirmation,,,,,,,,,,,,,,,,,,,,
/DSD/TOUR,Direct Store Delivery: Tour status,,,,,,,,,,,,,,,,,,,,
/DSD/VC_VL,Visit Control - Visit Lists,,,,,,,,,,,,,,,,,,,,
/DSD/VC_VP,Visit Control - Visit Plans,,,,,,,,,,,,,,,,,,,,
/ECRS/DVI,#NAME?,,,,,,,,,,,,,,,,,,,,
/ECRS/POI,**Obsolete**Maintain Providers of Information,,,,,,,,,,,,,,,,,,,,
/ECRS/POIA,Provider of Information,,,,,,,,,,,,,,,,,,,,
/ECRS/POIB,Provider of Information for Business Partner,,,,,,,,,,,,,,,,,,,,
/ECRS/RP,**Obsolete**Edit Intrastat Declarations,,,,,,,,,,,,,,,,,,,,
/ECRS/RPHB,Intrastat Declaration for Business Partner,,,,,,,,,,,,,,,,,,,,
/ECRS/RPHD,Intrastat Declaration,,,,,,,,,,,,,,,,,,,,
/ECRS/SP,Selection Program for Intrastat Reporting,,,,,,,,,,,,,,,,,,,,
/ECRS/WL,Edit Worklist,,,,,,,,,,,,,,,,,,,,
/FSCAA/CSL,FS-CAA Authorization Object,,,,,,,,,,,,,,,,,,,,
/FTI/START,Starting Framework,,,,,,,,,,,,,,,,,,,,
/FTI/UISWC,/FTI/UISWC,,,,,,,,,,,,,,,,,,,,
/GC1/AUTH,Authorization for Garbage Collector,,,,,,,,,,,,,,,,,,,,
/GSINS/BPA,Business Partner Additional Details,,,,,,,,,,,,,,,,,,,,
