Client,ROLE,MASTER_ROLE,DESC
900,ZSG_MM_PO.PRO_215,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (JTSM/1802)
900,ZSG_MM_PO.PRO_218,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FIAS/1806)
900,ZSG_MM_PO.PRO_219,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FIAP/1806)
900,ZSG_MM_PO.PRO_220,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FLVS/1807)
900,ZSG_MM_PO.PRO_221,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FNSM/1805)
900,ZSG_MM_PO.PRO_222,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FNSV/1805)
900,ZSG_MM_PO.PRO_223,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FMSM/1809)
900,ZSG_MM_PO.PRO_224,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FMSV/1809)
900,ZSG_MM_PO.PRO_225,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (FASV/1804)
900,ZSG_MM_PO.PRO_226,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (ITSS/1812)
900,ZSG_MM_PO.PRO_229,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (TS/1813)
900,ZSG_MM_PO.PRO_232,ZSG_MM_PO.PRO_XXX,MEAP Purchase Order (LEVI/1803)
900,ZSG_MM_PO.PRO_GSCM,ZSG_MM_PO.PRO_GSCM_XXX,GSCM PO Processing Role
900,ZSG_MM_PO.PRO_GSCM_XXX,,GSCM PO Processing Role
900,ZSG_MM_PO.PRO_XXX,,MEAP Purchase Order
900,ZSG_MM_PO.PRT_202,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (APCR/1810)
900,ZSG_MM_PO.PRT_203,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (SCPW/1808)
900,ZSG_MM_PO.PRT_205,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (VISM/1803)
900,ZSG_MM_PO.PRT_206,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (VISV/1803)
900,ZSG_MM_PO.PRT_208,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (LEAC/1801)
900,ZSG_MM_PO.PRT_209,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (LERM/1811)
900,ZSG_MM_PO.PRT_210,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (LEHE/1801)
900,ZSG_MM_PO.PRT_213,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (PVSM/1802)
900,ZSG_MM_PO.PRT_214,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (PVPS/1802)
900,ZSG_MM_PO.PRT_215,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (JTSM/1802)
900,ZSG_MM_PO.PRT_218,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FIAS/1806)
900,ZSG_MM_PO.PRT_219,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FIAP/1806)
900,ZSG_MM_PO.PRT_220,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FLVS/1807)
900,ZSG_MM_PO.PRT_221,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FNSM/1805)
900,ZSG_MM_PO.PRT_222,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FNSV/1805)
900,ZSG_MM_PO.PRT_223,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FMSM/1809)
900,ZSG_MM_PO.PRT_224,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FMSV/1809)
900,ZSG_MM_PO.PRT_225,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (FASV/1804)
900,ZSG_MM_PO.PRT_226,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (ITSS/1812)
900,ZSG_MM_PO.PRT_229,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (TS/1813)
900,ZSG_MM_PO.PRT_232,ZSG_MM_PO.PRT_XXX,MEAP PO Print Out (LEVI/1803)
900,ZSG_MM_PO.PRT_XXX,,MEAP PO Print Out
900,ZSG_MM_PO.SDSP_202,,MEAP Price Master Mass Update (APCR)
900,ZSG_MM_PO.SP_DSP_GSCM_218,ZSG_MM_PO.SP_DSP_GSCM_XXX,GSCM Contract Display Role (FIAS/1806)
900,ZSG_MM_PO.SP_DSP_GSCM_219,ZSG_MM_PO.SP_DSP_GSCM_XXX,GSCM Contract Display Role (FIAP/1806)
900,ZSG_MM_PO.SP_DSP_GSCM_220,ZSG_MM_PO.SP_DSP_GSCM_XXX,GSCM Contract Display Role (FLVS/1807)
900,ZSG_MM_PO.SP_DSP_GSCM_221,ZSG_MM_PO.SP_DSP_GSCM_XXX,GSCM Contract Display Role (FNSM/1805)
900,ZSG_MM_PO.SP_DSP_GSCM_222,ZSG_MM_PO.SP_DSP_GSCM_XXX,GSCM Contract Display Role (FNSV/1805)
900,ZSG_MM_PO.SP_DSP_GSCM_XXX,,GSCM Contract Display Role
900,ZSG_MM_PO.SP_GSCM_218,ZSG_MM_PO.SP_GSCM_XXX,GSCM Contract Processor Role (FIAS/1806)
900,ZSG_MM_PO.SP_GSCM_219,ZSG_MM_PO.SP_GSCM_XXX,GSCM Contract Processor Role (FIAP/1806)
900,ZSG_MM_PO.SP_GSCM_220,ZSG_MM_PO.SP_GSCM_XXX,GSCM Contract Processor Role (FLVS/1807)
900,ZSG_MM_PO.SP_GSCM_221,ZSG_MM_PO.SP_GSCM_XXX,GSCM Contract Processor Role (FNSM/1805)
900,ZSG_MM_PO.SP_GSCM_222,ZSG_MM_PO.SP_GSCM_XXX,GSCM Contract Processor Role (FNSV/1805)
900,ZSG_MM_PO.SP_GSCM_XXX,,GSCM Contract Processor Role
900,ZSG_MM_PO.VENADM,,[MEAP] Purchasing Vendor Master Administrator
900,ZSG_MM_PR.DSP_202,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (APCR/1810)
900,ZSG_MM_PR.DSP_203,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (SCPW/1808)
900,ZSG_MM_PR.DSP_205,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (VISM/1803)
