MANDT,AGR_NAME,UNAME,FROM_DAT,TO_DAT,EXCLUDE,CHANGE_DAT,CHANGE_TIM,CHANGE_TST,ORG_FLAG,COL_FLAG
901,ZSG_BS_OU.PRO,FF_LOG_2,23/5/2024,31/12/9999,,23/5/2024,7:52:56 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FF_LOG_3,23/5/2024,31/12/9999,,23/5/2024,7:52:56 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FF_LOG_4,23/5/2024,31/12/9999,,23/5/2024,7:52:56 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FTLIM,4/3/2024,31/12/9999,,4/3/2024,11:35:36 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FWLIM,4/3/2024,31/12/9999,,4/3/2024,11:36:06 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,FWLIM_C,4/3/2024,31/12/9999,,12/5/2024,5:01:07 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,GARRYQUEK,4/3/2024,31/12/9999,,4/3/2024,11:36:26 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,GETANG,4/3/2024,31/12/9999,,4/3/2024,11:36:40 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,GRACECHAN,4/3/2024,31/12/9999,,4/3/2024,11:37:18 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,GRACECHAN_C,4/3/2024,31/12/9999,,14/6/2024,4:15:05 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,GRACECHUA,4/3/2024,31/12/9999,,4/3/2024,11:37:41 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,GRACECHUA_C,4/3/2024,31/12/9999,,16/5/2024,5:02:43 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,HEIDITAN,21/5/2024,31/12/9999,,21/5/2024,3:47:22 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,HKNG,4/3/2024,31/12/9999,,4/3/2024,11:38:32 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,HLONG,4/3/2024,31/12/9999,,4/3/2024,11:38:51 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,HSYOON,4/3/2024,31/12/9999,,4/3/2024,11:39:18 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,IRINAYEO,4/3/2024,31/12/9999,,4/3/2024,11:39:35 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,IRVINGWONG,4/3/2024,31/12/9999,,4/3/2024,11:39:51 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,IRVINGWONG_C,4/3/2024,31/12/9999,,12/5/2024,5:02:50 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ISS_ROLE_ADM,4/3/2024,31/12/9999,,4/3/2024,11:40:10 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,IVYLIM,4/3/2024,31/12/9999,,4/3/2024,11:40:27 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JASONLIEW,4/3/2024,31/12/9999,,4/3/2024,11:40:46 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JASONONG,4/3/2024,31/12/9999,,4/3/2024,11:41:03 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JASONONG_C,4/3/2024,31/12/9999,,11/5/2024,11:25:59 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JECHONG,4/3/2024,31/12/9999,,4/3/2024,11:41:24 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JECHONG_C,4/3/2024,31/12/9999,,15/5/2024,5:49:23 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JEFFREYCHIA,4/3/2024,31/12/9999,,4/3/2024,11:41:50 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JESSIETAN,4/3/2024,31/12/9999,,4/3/2024,11:42:04 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JHLUI,4/3/2024,31/12/9999,,4/3/2024,11:42:29 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JOHNCHONG,4/3/2024,31/12/9999,,4/3/2024,11:42:49 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JOHNTEO,4/3/2024,31/12/9999,,4/3/2024,11:43:05 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JOHNTEO_YT,4/3/2024,31/12/9999,,17/5/2024,12:40:58 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JOYCELEE,4/3/2024,31/12/9999,,4/3/2024,11:43:23 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JOYCELEE_C,4/3/2024,31/12/9999,,3/6/2024,6:02:35 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JQONG,4/3/2024,31/12/9999,,4/3/2024,11:43:42 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JSNG,4/3/2024,31/12/9999,,4/3/2024,11:43:57 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,JSUMITHA,4/3/2024,31/12/9999,,4/3/2024,11:44:12 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KARENSEE,4/3/2024,31/12/9999,,4/3/2024,11:44:33 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KARENSEE_C,4/3/2024,31/12/9999,,16/5/2024,11:28:08 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KATHERINETAN,4/3/2024,31/12/9999,,4/3/2024,11:44:54 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KATHRINELEE,4/3/2024,31/12/9999,,4/3/2024,11:45:11 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KELVINLOH,4/3/2024,31/12/9999,,4/3/2024,11:45:29 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KENNETHCHANG,4/6/2024,31/12/9999,,4/6/2024,11:57:23 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KENNETHTONG,4/3/2024,31/12/9999,,4/3/2024,11:45:44 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KLYEW,4/3/2024,31/12/9999,,4/3/2024,11:46:02 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KSLEE,4/3/2024,31/12/9999,,4/3/2024,11:46:24 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,KTLOW,4/3/2024,31/12/9999,,4/3/2024,11:46:48 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LGAW,4/3/2024,31/12/9999,,4/3/2024,11:47:02 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LKTAY,4/3/2024,31/12/9999,,4/3/2024,11:47:20 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LKTAY_C,4/3/2024,31/12/9999,,23/5/2024,5:57:28 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LLKONG,4/3/2024,31/12/9999,,4/3/2024,11:47:45 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LLSOH,4/3/2024,31/12/9999,,4/3/2024,11:48:01 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LMENG,4/3/2024,31/12/9999,,4/3/2024,11:48:14 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LMENG_C,4/3/2024,31/12/9999,,7/6/2024,3:09:06 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,LNOBRERA,4/3/2024,31/12/9999,,4/3/2024,11:48:34 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MARCUSYONG,4/3/2024,31/12/9999,,4/3/2024,11:48:50 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MARCUSYONG_C,4/3/2024,31/12/9999,,12/5/2024,10:22:33 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MC-FIUSER01,21/2/2024,31/12/9999,,21/2/2024,11:38:28 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MC-PSUSER01,21/2/2024,31/12/9999,,30/4/2024,2:50:07 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MDURYODHANA,4/3/2024,31/12/9999,,4/3/2024,11:49:11 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MKGAN,4/3/2024,31/12/9999,,4/3/2024,11:49:24 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MLCHUA,4/3/2024,31/12/9999,,4/3/2024,11:49:50 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MLCHUA_C,4/3/2024,31/12/9999,,5/6/2024,3:37:18 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MPNG,4/3/2024,31/12/9999,,4/3/2024,11:50:14 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MPNG_C,4/3/2024,31/12/9999,,29/5/2024,6:29:59 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MQTAN,4/3/2024,31/12/9999,,4/3/2024,11:50:54 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MSCHAI,4/3/2024,31/12/9999,,4/3/2024,11:51:21 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MSWOO,4/3/2024,31/12/9999,,4/3/2024,11:51:40 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MSWOO_C,4/3/2024,31/12/9999,,10/5/2024,1:12:16 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MTKHIN,4/3/2024,31/12/9999,,4/3/2024,11:52:06 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,MYAMADA,4/3/2024,31/12/9999,,4/3/2024,11:52:19 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,NICHOLASHUNG,4/3/2024,31/12/9999,,4/3/2024,11:52:37 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,NIGELHO,4/3/2024,31/12/9999,,4/3/2024,11:52:59 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,NIGELHO_C,4/3/2024,31/12/9999,,16/5/2024,11:24:09 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,NURULSOFYA,4/3/2024,31/12/9999,,4/3/2024,11:53:13 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,PATRICKCHU,4/3/2024,31/12/9999,,4/3/2024,11:57:54 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,PAULINETHNG,4/3/2024,31/12/9999,,4/3/2024,11:58:18 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,PLHO,4/3/2024,31/12/9999,,4/3/2024,11:58:39 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,RANDYXU,4/3/2024,31/12/9999,,4/3/2024,11:58:57 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,RFCGSCM,4/3/2024,31/12/9999,,4/3/2024,11:59:09 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,ROYSTONKWIK,4/3/2024,31/12/9999,,4/3/2024,11:59:57 AM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SACHINAS,4/3/2024,31/12/9999,,4/3/2024,12:00:19 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SAMANTHATAN,4/3/2024,31/12/9999,,4/3/2024,12:00:31 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SANISALEH,4/3/2024,31/12/9999,,4/3/2024,12:00:59 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SAP_WFRT,30/4/2024,31/12/9999,,30/4/2024,3:05:33 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SFTAN,4/3/2024,31/12/9999,,4/3/2024,12:01:21 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SHLIM,4/3/2024,31/12/9999,,4/3/2024,12:02:00 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SHONG,4/3/2024,31/12/9999,,4/3/2024,12:02:29 PM,0/1/1900 0:00,,
901,ZSG_BS_OU.PRO,SIMSL,4/3/2024,31/12/9999,,4/3/2024,12:02:49 PM,0/1/1900 0:00,,
