Client,ROLE,MASTER_ROLE,DESC
800,ZSG_SD_REB.PRO_813,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (LERM/1801)"
800,ZSG_SD_REB.PRO_815,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (LEHE/1801)"
800,ZSG_SD_REB.PRO_816,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (LESV/1801)"
800,ZSG_SD_REB.PRO_831,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FAPP/1820)"
800,ZSG_SD_REB.PRO_832,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FAPM/1820)"
800,ZSG_SD_REB.PRO_833,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FAIS/1820)"
800,ZSG_SD_REB.PRO_835,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FASS/1820)"
800,ZSG_SD_REB.PRO_836,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FACS/1820)"
800,ZSG_SD_REB.PRO_837,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FACS/1820)"
800,ZSG_SD_REB.PRO_838,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FASV/1820)"
800,ZSG_SD_REB.PRO_839,ZSG_SD_REB.PRO_XXX,"MEAP Rebate Processeor(FAXX/1821,22,23,24) (FASM/1820)"
800,ZSG_SD_REB.PRO_XXX,,"MEAP Rebate Processeor(FAXX/1821,22,23,24)"
800,ZSG_SD_REBT.DSP_XXX,,MEAP Rebate Agreement Display and Report
800,ZSG_SD_REBT.PRO_XXX,,MEAP Rebate Agreement Processor
800,ZSG_SD_SO.APPBB_ADMIN,ZSG_SD_SO.APPBB_XXX,MEAP Sales Order Billing Block Approver (A&F)
800,ZSG_SD_SO.APPBB_XXX,,MEAP Sales Order Billing Block Approver
800,ZSG_SD_SO.APPCL_615,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (AMAF/1890)
800,ZSG_SD_SO.APPCL_812,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LEAC/1801)
800,ZSG_SD_SO.APPCL_813,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LERM/1801)
800,ZSG_SD_SO.APPCL_815,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (LEHE/1801)
800,ZSG_SD_SO.APPCL_833,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (FAIS/1820)
800,ZSG_SD_SO.APPCL_835,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (FASS/1820)
800,ZSG_SD_SO.APPCL_836,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (FACS/1820)
800,ZSG_SD_SO.APPCL_837,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (FACS/1820)
800,ZSG_SD_SO.APPCL_838,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (FASV/1820)
800,ZSG_SD_SO.APPCL_872,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (PUPS/1811)
800,ZSG_SD_SO.APPCL_ADMIN,ZSG_SD_SO.APPCL_XXX,MEAP Sales Order Credit Limit Approver (A&F)
800,ZSG_SD_SO.APPCL_XXX,,MEAP Sales Order Credit Limit Approver
800,ZSG_SD_SO.APPSB_615,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (AMAF/1890)
800,ZSG_SD_SO.APPSB_812,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (LEAC/1801)
800,ZSG_SD_SO.APPSB_813,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (LERM/1801)
800,ZSG_SD_SO.APPSB_815,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (LEHE/1801)
800,ZSG_SD_SO.APPSB_833,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (FAIS/1820)
800,ZSG_SD_SO.APPSB_835,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (FASS/1820)
800,ZSG_SD_SO.APPSB_836,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (FACS/1820)
800,ZSG_SD_SO.APPSB_837,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (FACS/1820)
800,ZSG_SD_SO.APPSB_838,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (FASV/1820)
800,ZSG_SD_SO.APPSB_861,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (SEMI/1808)
800,ZSG_SD_SO.APPSB_872,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver (PUPS/1811)
800,ZSG_SD_SO.APPSB_ADMIN,ZSG_SD_SO.APPSB_XXX,MEAP Sales Order Block Approver for A&F
800,ZSG_SD_SO.APPSB_XXX,,MEAP Sales Order Block Approver
800,ZSG_SD_SO.DSPCL_1801,ZSG_SD_SO.DSPCL_XXX,MEAP Sales Order Credit Limit Display (MEAP-LE)
800,ZSG_SD_SO.DSPCL_1808,ZSG_SD_SO.DSPCL_XXX,MEAP Sales Order Credit Limit Display (MEAP-SEMI)
800,ZSG_SD_SO.DSPCL_1810,ZSG_SD_SO.DSPCL_XXX,MEAP Sales Order Credit Limit Display (MEAP-APCR)
800,ZSG_SD_SO.DSPCL_1811,ZSG_SD_SO.DSPCL_XXX,MEAP Sales Order Credit Limit Display (MEAP-PUS)
800,ZSG_SD_SO.DSPCL_1821,ZSG_SD_SO.DSPCL_XXX,MEAP Sales Order Credit Limit Display (MEAP-FAIS&FASS)
800,ZSG_SD_SO.DSPCL_1823,ZSG_SD_SO.DSPCL_XXX,MEAP Sales Order Credit Limit Display (MEAP-FACS&FASV)
800,ZSG_SD_SO.DSPCL_ADMIN,ZSG_SD_SO.DSPCL_XXX,MEAP Sales Order Credit Limit Display (ADMIN)
800,ZSG_SD_SO.DSPCL_XXX,,MEAP Sales Order Credit Limit Display
800,ZSG_SD_SO.DSP_511,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_512,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_513,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_515,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_516,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_517,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_518,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_519,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_520,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_521,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_522,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
