ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_SD_BL.DSP_223,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_833
ZSG_SD_BL.DSP_224,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_837
ZSG_SD_BL.DSP_225,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_838
ZSG_SD_CMIR.DSP_218,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_833
ZSG_SD_CMIR.DSP_219,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_835
ZSG_SD_CMIR.DSP_220,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_833
ZSG_SD_CMIR.DSP_221,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_833
ZSG_SD_CMIR.DSP_222,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_836
ZSG_SD_CMIR.DSP_223,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_833
ZSG_SD_CMIR.DSP_224,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_837
ZSG_SD_CMIR.DSP_225,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_838
ZSG_SD_COND.ADM_219PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_835PR00
ZSG_SD_COND.DSP_218,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_833
ZSG_SD_COND.DSP_219,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_835
ZSG_SD_COND.DSP_220,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_833
ZSG_SD_COND.DSP_221,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_833
ZSG_SD_COND.DSP_222,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_836
ZSG_SD_COND.DSP_223,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_833
ZSG_SD_COND.DSP_224,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_837
ZSG_SD_COND.DSP_225,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_838
ZSG_SD_QT.PRO_219,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_835
ZSG_SD_QT.PRO_220,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_833
ZSG_SD_QT.PRO_221,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_833
ZSG_SD_QT.PRO_223,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_833
ZSG_SD_SO.APPSB_218,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_833
ZSG_SD_SO.APPSB_219,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_835
ZSG_SD_SO.APPSB_220,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_833
ZSG_SD_SO.APPSB_221,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_833
ZSG_SD_SO.APPSB_223,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_833
ZSG_SD_SO.DSP_218,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_833
ZSG_SD_SO.DSP_219,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_835
ZSG_SD_SO.DSP_220,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_833
ZSG_SD_SO.DSP_221,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_833
ZSG_SD_SO.DSP_222,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_836
ZSG_SD_SO.DSP_223,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_833
ZSG_SD_SO.DSP_224,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_837
ZSG_SD_SO.DSP_225,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_838
ZSG_CO_PA.SDSP_202,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_851
ZSG_CO_PA.SDSP_203,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_861
ZSG_CO_PA.SDSP_205,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_872
ZSG_CO_PA.SDSP_206,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_872
ZSG_CO_PA.SDSP_208,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_812
ZSG_CO_PA.SDSP_209,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_813
ZSG_CO_PA.SDSP_210,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_815
ZSG_CO_PA.SDSP_213,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_872
ZSG_CO_PA.SDSP_214,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_872
