ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_MM_PO.INTF_202,ZSG_MM_PO.INTF_202,ZSG_MM_PO.INTF_851
ZSG_MM_PO.PRO_202,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_851
ZSG_MM_PO.PRT_202,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_851
ZSG_MM_PO.VENADM,ZSG_MM_PO.VENADM,ZSG_MM_PO.VENADM
ZSG_MM_PR.PRO_202,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_851
ZSG_SD_BL.DSP_202,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_851
ZSG_SD_BL.INTF_202,ZSG_SD_BL.INTF_202,ZSG_SD_BL.INTF_851
ZSG_SD_BL.PRO_202,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_851
ZSG_SD_BL.REQCNC_202,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_851
ZSG_SD_CMIR.ADM_202,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_851
ZSG_SD_CMIR.DSP_202,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_851
ZSG_SD_COND.DSP_202,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_851
ZSG_SD_DO.PRO_202,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_851
ZSG_SD_QT.PRO_202,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_851
ZSG_SD_SO.DSP_202,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_851
ZSG_SD_SO.INTF_202,ZSG_SD_SO.INTF_202,ZSG_SD_SO.INTF_851
ZSG_SD_SO.PRO_202,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_851
SAP_BC_DB_ADMIN_DB6,0,SAP_BC_DB_ADMIN_DB6
ZSG_MM_IM.DSP_213,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_872
ZSG_MM_IM.DSP_214,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_872
ZSG_MM_IM.DSP_232,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_872
ZSG_MM_LO.PRO-GI_208,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_812
ZSG_MM_LO.PRO-GI_209,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_813
ZSG_MM_LO.PRO-GI_210,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_815
ZSG_MM_LO.PRO-GI_213,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_872
ZSG_MM_LO.PRO-GI_214,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_872
ZSG_MM_LO.PRO-GI_215,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_815
ZSG_MM_LO.PRO-GI_218,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_833
ZSG_MM_LO.PRO-GI_219,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_835
ZSG_MM_LO.PRO-GI_220,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_833
ZSG_MM_LO.PRO-GI_221,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_833
ZSG_MM_LO.PRO-GI_223,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_833
ZSG_MM_LO.PRO-GI_232,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_872
ZSG_MM_LO.PRO-GR_208,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_812
ZSG_MM_LO.PRO-GR_209,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_813
ZSG_MM_LO.PRO-GR_210,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_815
ZSG_MM_LO.PRO-GR_213,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_872
ZSG_MM_LO.PRO-GR_214,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_872
ZSG_MM_LO.PRO-GR_215,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_815
ZSG_MM_LO.PRO-GR_218,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_833
ZSG_MM_LO.PRO-GR_219,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_835
ZSG_MM_LO.PRO-GR_220,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_833
ZSG_MM_LO.PRO-GR_221,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_833
ZSG_MM_LO.PRO-GR_223,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_833
ZSG_MM_LO.PRO-GR_232,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_872
Z_APP.USER.ADM_ISS,Z_APP.USER.ADM_ISS,Z_APP.USER.ADM_ISS
ZSG_MM_PO.DSP_203,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_861
ZSG_MM_PO.PRT_203,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_861
ZSG_SD_BL.DSP_203,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_861
ZSG_SD_CMIR.DSP_203,ZSG_SD_CMIR.DSP_XXX,ZSG_SD_CMIR.DSP_861
ZSG_SD_COND.DSP_203,ZSG_SD_COND.DSP_XXX,ZSG_SD_COND.DSP_861
ZSG_SD_SO.DSP_203,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_861
ZSG_MM_PI.ENTER_208,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_812
ZSG_BS_UT.DSP_104,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_615
ZSG_CS_NO.ADM,ZSG_CS_NO.ADM,ZSG_CS_NO.ADM
ZSG_CS_NO.DSP_XXX,ZSG_CS_NO.DSP_XXX,ZSG_CS_NO.DSP_XXX
ZSG_FI_AR.PRO,ZSG_FI_AR.PRO,ZSG_FI_AR.PRO
ZSG_FI_AR.PYMT,ZSG_FI_AR.PYMT,ZSG_FI_AR.PYMT
ZSG_FI_CK.LOT.PRO,ZSG_FI_CK.LOT.PRO,ZSG_FI_CK.LOT.PRO
ZSG_MM_IM.STKOFF_XXX,ZSG_MM_IM.STKOFF_XXX,ZSG_MM_IM.STKOFF_XXX
ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_XXX
ZSG_MM_LO.PRO-TRS_ADMIN,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_ADMIN
ZSG_MM_MM.PRICE_XXX,ZSG_MM_MM.PRICE_XXX,ZSG_MM_MM.PRICE_XXX
ZSG_MM_PI.PRO_XXX,ZSG_MM_PI.PRO_XXX,ZSG_MM_PI.PRO_XXX
ZSG_SD_BL.PRO_ADMIN,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_ADMIN
ZSG_SD_QT.PRO_ADMIN,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_ADMIN
ZSG_SD_SO.PRO_ADMIN,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_ADMIN
ZSG_CS_EM.ADM_222,ZSG_CS_EM.ADM_XXX,ZSG_CS_EM.ADM_836
ZSG_CS_EM.ADM_224,ZSG_CS_EM.ADM_XXX,ZSG_CS_EM.ADM_837
ZSG_CS_EM.ADM_225,ZSG_CS_EM.ADM_XXX,ZSG_CS_EM.ADM_838
ZSG_MM_LO.PRO-TRS_218,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833
ZSG_MM_LO.PRO-TRS_219,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_835
ZSG_MM_LO.PRO-TRS_220,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833
ZSG_MM_LO.PRO-TRS_221,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833
ZSG_MM_LO.PRO-TRS_222,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_836
ZSG_MM_LO.PRO-TRS_223,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833
ZSG_MM_LO.PRO-TRS_224,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_837
ZSG_MM_LO.PRO-TRS_225,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_838
ZSG_MM_MM.PRO_218,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_833
ZSG_MM_MM.PRO_219,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_835
ZSG_MM_MM.PRO_220,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_833
ZSG_MM_MM.PRO_221,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_833
ZSG_MM_MM.PRO_222,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_836
ZSG_MM_MM.PRO_223,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_833
ZSG_MM_MM.PRO_224,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_837
ZSG_MM_MM.PRO_225,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_838
ZSG_MM_MM.STBIN_XXX,ZSG_MM_MM.STBIN_XXX,ZSG_MM_MM.STBIN_XXX
ZSG_MM_PI.ENTER_218,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_833
ZSG_MM_PI.ENTER_219,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_835
ZSG_MM_PI.ENTER_220,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_833
ZSG_MM_PI.ENTER_221,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_833
ZSG_MM_PI.ENTER_223,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_833
ZSG_MM_PI.ENTER_224,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_837
ZSG_MM_PO.PRO_218,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_833
ZSG_MM_PO.PRO_219,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_835
ZSG_MM_PO.PRO_220,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_833
ZSG_MM_PO.PRO_221,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_833
ZSG_MM_PO.PRO_222,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_836
ZSG_MM_PO.PRO_223,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_833
ZSG_MM_PO.PRO_224,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_837
ZSG_MM_PO.PRO_225,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_838
ZSG_MM_PR.PRO_218,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_833
ZSG_MM_PR.PRO_219,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_835
ZSG_MM_PR.PRO_220,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_833
ZSG_MM_PR.PRO_221,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_833
ZSG_MM_PR.PRO_222,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_836
ZSG_MM_PR.PRO_223,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_833
ZSG_MM_PR.PRO_224,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_837
ZSG_MM_PR.PRO_225,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_838
ZSG_SD_BL.PRO_218,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_833
ZSG_SD_BL.PRO_219,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_835
ZSG_SD_BL.PRO_220,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_833
ZSG_SD_BL.PRO_221,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_833
ZSG_SD_BL.PRO_222,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_836
ZSG_SD_BL.PRO_223,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_833
ZSG_SD_BL.PRO_224,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_837
ZSG_SD_BL.PRO_225,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_838
ZSG_SD_BL.REQCNC_218,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_833
ZSG_SD_BL.REQCNC_219,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_835
ZSG_SD_BL.REQCNC_220,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_833
ZSG_SD_BL.REQCNC_221,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_833
ZSG_SD_BL.REQCNC_222,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_836
ZSG_SD_BL.REQCNC_223,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_833
ZSG_SD_BL.REQCNC_224,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_837
ZSG_SD_BL.REQCNC_225,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_838
ZSG_SD_CMIR.ADM_218,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_833
ZSG_SD_CMIR.ADM_219,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_835
ZSG_SD_CMIR.ADM_220,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_833
ZSG_SD_CMIR.ADM_221,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_833
ZSG_SD_CMIR.ADM_222,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_836
ZSG_SD_CMIR.ADM_223,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_833
ZSG_SD_CMIR.ADM_224,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_837
ZSG_SD_CMIR.ADM_225,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_838
ZSG_SD_COND.ADM_218PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833PR00
ZSG_SD_COND.ADM_220PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833PR00
ZSG_SD_COND.ADM_221PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833PR00
ZSG_SD_COND.ADM_222PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_836PR00
ZSG_SD_COND.ADM_223PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833PR00
ZSG_SD_COND.ADM_224PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_837PR00
ZSG_SD_COND.ADM_225PR00,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_838PR00
ZSG_SD_COND.UPL_225PR00,ZSG_SD_COND.UPL_XXX,ZSG_SD_COND.UPL_838PR00
ZSG_SD_DO.PRO_218,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_833
ZSG_SD_DO.PRO_219,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_835
ZSG_SD_DO.PRO_220,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_833
ZSG_SD_DO.PRO_221,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_833
ZSG_SD_DO.PRO_222,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_836
ZSG_SD_DO.PRO_223,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_833
ZSG_SD_DO.PRO_224,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_837
ZSG_SD_DO.PRO_225,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_838
ZSG_SD_SO.PRO_218,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_833
ZSG_SD_SO.PRO_219,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_835
ZSG_SD_SO.PRO_220,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_833
ZSG_SD_SO.PRO_221,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_833
ZSG_SD_SO.PRO_222,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_836
ZSG_SD_SO.PRO_223,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_833
ZSG_SD_SO.PRO_224,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_837
ZSG_SD_SO.PRO_225,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_838
ZSG_CO_PA.SDSP_207,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_811
ZSG_CO_PA.SDSP_211,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_816
ZSG_CO_PA.SDSP_229,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_872
ZSG_CO_PA.SDSP_245,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_911
ZSG_MM_IM.DSP_205,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_872
ZSG_MM_IM.DSP_206,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_872
ZSG_MM_IM.DSP_226,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_611
ZSG_MM_IM.DSP_229,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_872
ZSG_MM_PO.DSP_205,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_872
ZSG_MM_PO.DSP_206,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_872
ZSG_MM_PO.DSP_213,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_872
ZSG_MM_PO.DSP_214,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_872
ZSG_MM_PO.DSP_226,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_611
ZSG_MM_PO.DSP_229,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_872
ZSG_MM_PO.DSP_232,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_872
ZSG_MM_PO.PRT_205,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_872
ZSG_MM_PO.PRT_206,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_872
ZSG_MM_PO.PRT_213,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_872
ZSG_MM_PO.PRT_214,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_872
ZSG_MM_PO.PRT_215,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_815
ZSG_MM_PO.PRT_226,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_611
ZSG_MM_PO.PRT_229,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_872
ZSG_MM_PO.PRT_232,ZSG_MM_PO.PRT_XXX,ZSG_MM_PO.PRT_872
ZSG_MM_PR.DSP_229,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_872
ZSG_SD_BL.DSP_205,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_872
ZSG_SD_BL.DSP_206,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_872
ZSG_SD_BL.DSP_213,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_872
ZSG_SD_BL.DSP_214,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_872
ZSG_SD_BL.DSP_226,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_611
ZSG_SD_BL.DSP_229,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_872
ZSG_SD_BL.DSP_230,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_872
ZSG_SD_BL.DSP_232,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_872
ZSG_SD_BL.DSP_245,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_911
ZSG_SD_SO.DSP_205,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_872
ZSG_SD_SO.DSP_206,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_872
ZSG_SD_SO.DSP_213,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_872
ZSG_SD_SO.DSP_214,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_872
ZSG_SD_SO.DSP_226,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_611
ZSG_SD_SO.DSP_229,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_872
ZSG_SD_SO.DSP_230,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_872
ZSG_SD_SO.DSP_232,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_872
ZSG_SD_SO.DSP_245,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_911
ZSG_MM_PO.APPLV1_213,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_872
ZSG_SD_SO.APPSB_213,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_872
ZSG_CS_LO.PRO-GI_XXX,ZSG_CS_LO.PRO-GI_XXX,ZSG_CS_LO.PRO-GI_XXX
ZSG_CS_LO.PRO-GR_XXX,ZSG_CS_LO.PRO-GR_XXX,ZSG_CS_LO.PRO-GR_XXX
ZSG_MM_LO.PRO-GI_225,ZSG_MM_LO.PRO-GI_XXX,ZSG_MM_LO.PRO-GI_838
ZSG_MM_LO.PRO-GR_225,ZSG_MM_LO.PRO-GR_XXX,ZSG_MM_LO.PRO-GR_838
ZSG_MM_LO.PRO-TRS_203,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_861
ZSG_MM_MM.PRO_203,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_861
ZSG_MM_PI.ENTER_203,ZSG_MM_PI.ENTER_XXX,ZSG_MM_PI.ENTER_861
ZSG_MM_PO.PRO_203,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_861
ZSG_MM_PR.PRO_203,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_861
ZSG_SD_BL.PRO_203,ZSG_SD_BL.PRO_XXX,ZSG_SD_BL.PRO_861
ZSG_SD_BL.REQCNC_203,ZSG_SD_BL.REQCNC_XXX,ZSG_SD_BL.REQCNC_861
ZSG_SD_CMIR.ADM_203,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_861
ZSG_SD_DO.PRO_203,ZSG_SD_DO.PRO_XXX,ZSG_SD_DO.PRO_861
ZSG_SD_QT.PRO_203,ZSG_SD_QT.PRO_XXX,ZSG_SD_QT.PRO_861
ZSG_SD_SO.INTF_203,ZSG_SD_SO.INTF_203,ZSG_SD_SO.INTF_861
ZSG_SD_SO.PRO_203,ZSG_SD_SO.PRO_XXX,ZSG_SD_SO.PRO_861
ZSG_CS_NO.PRO_222,ZSG_CS_NO.PRO_XXX,ZSG_CS_NO.PRO_836
ZSG_CS_NO.PRO_224,ZSG_CS_NO.PRO_XXX,ZSG_CS_NO.PRO_837
ZSG_FI_GL.SDSP_207,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_811
ZSG_FI_GL.SDSP_208,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_812
ZSG_FI_GL.SDSP_209,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_813
ZSG_FI_GL.SDSP_210,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_815
ZSG_FI_GL.SDSP_211,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_816
ZSG_FI_GL.SDSP_215,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_815
ZSG_MM_LO.PRO-GI.CANCEL_208,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_812
ZSG_MM_LO.PRO-GI.CANCEL_209,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_813
ZSG_MM_LO.PRO-GI.CANCEL_210,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_815
ZSG_MM_LO.PRO-GI.CANCEL_215,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_815
ZSG_MM_MM.GPSI_208,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_812
ZSG_MM_MM.GPSI_210,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_815
ZSG_MM_MM.GPSI_215,ZSG_MM_MM.GPSI_XXX,ZSG_MM_MM.GPSI_815
ZSG_MM_MM.PRO_208,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_812
ZSG_MM_MM.PRO_210,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_815
ZSG_MM_MM.PRO_215,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_815
ZSG_MM_PO.GRI_208,ZSG_MM_PO.GRI_XXX,ZSG_MM_PO.GRI_812
ZSG_MM_PO.GRI_215,ZSG_MM_PO.GRI_XXX,ZSG_MM_PO.GRI_815
ZSG_MM_PO.PRO_208,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_812
ZSG_MM_PO.PRO_210,ZSG_MM_PO.PRO_XXX,ZSG_MM_PO.PRO_815
ZSG_MM_PR.PRO_208,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_812
ZSG_MM_PR.PRO_210,ZSG_MM_PR.PRO_XXX,ZSG_MM_PR.PRO_815
ZSG_SD_CMIR.ADM_208,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_812
ZSG_SD_CMIR.ADM_210,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_815
ZSG_SD_CMIR.ADM_215,ZSG_SD_CMIR.ADM_XXX,ZSG_SD_CMIR.ADM_815
ZSG_SD_COND.ADM_215,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_815
ZSG_SD_SO.APPCL_208,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_812
ZSG_SD_SO.APPCL_209,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_813
ZSG_SD_SO.APPCL_210,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_815
